gene_id	expected_count	expected_count	expected_count	expected_count	expected_count	expected_count	expected_count	expected_count	expected_count	expected_count	expected_count	expected_count	expected_count
gene1203	39.00	14.00	64.00	26.00	0.00	1.00	0.00	2.00	4.00	4.00	10.00	7.00	1.00
gene12030	0.00	35.99	0.00	5.92	0.00	0.00	0.16	4.54	0.00	0.00	0.00	1.10	0.00
gene12031	16.00	34.00	207.00	76.00	0.00	299.00	88.00	207.00	182.00	17.00	9.00	38.00	145.00
gene12032	0.00	77.00	151.00	104.00	10.00	143.00	49.00	111.00	86.00	15.00	4.00	93.00	148.00
gene12033	375.00	69.00	326.00	201.00	10.00	172.00	72.00	103.00	79.00	438.00	225.00	580.00	772.00
gene12034	732.00	41.00	72.00	58.00	3.00	21.00	0.00	10.00	45.00	36.00	18.00	45.00	377.00
gene12035	0.00	8.00	0.00	10.00	0.00	3.00	0.00	0.00	0.00	0.00	0.00	11.00	16.00
gene12036	19.00	14.00	65.00	83.00	0.00	42.00	16.00	27.00	24.00	21.00	20.00	17.00	139.00
gene12037	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
gene12038	51.00	229.00	1663.00	663.00	288.00	134.00	32.06	103.00	472.00	500.00	4891.00	490.00	11660.00
gene12039	3.00	11.00	22.00	14.00	0.00	37.00	0.00	0.00	29.00	6.00	14.00	15.00	295.00
gene1204	4.00	5.00	23.00	30.00	6.00	134.00	21.00	39.00	15.00	3.00	3.00	16.00	202.00
gene12040	2.00	0.00	21.00	0.00	0.00	37.00	0.00	23.00	46.00	4.00	123.00	6.00	9.00
gene12041	0.00	0.00	0.00	0.00	17.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
gene12042	0.00	0.00	1.00	0.00	0.00	8.00	0.00	0.00	3.00	0.00	0.00	0.00	3.00
gene12043	1939.00	2344.00	18873.00	6077.00	1034.00	5130.00	2118.00	4927.00	2093.00	9020.00	3385.00	10010.00	7543.00
gene12044	5.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	8.00	0.00	0.00	2.00	7.24
gene12045	106.00	57.00	217.00	67.00	86.00	133.00	46.00	83.00	119.00	74.00	159.00	65.00	552.00
gene12046	112.00	18.00	34.00	34.00	13.00	61.00	19.00	21.00	75.00	10.00	31.00	36.00	240.00
gene12047	366.00	28.00	25.00	27.00	6.00	65.00	21.00	29.00	49.00	81.00	31.00	41.00	203.00
gene12048	16.00	36.00	46.00	70.00	5.00	121.00	39.00	50.00	69.00	26.00	27.00	63.00	1081.00
gene12049	0.00	11.00	17.00	22.00	4.00	43.00	11.00	36.00	7.00	0.00	6.00	14.00	15.00
gene1205	2.00	46.00	98.00	84.00	0.00	1189.00	61.00	177.00	16.00	51.00	15.00	68.00	278.00
gene12050	15.00	4.00	6.00	0.00	0.00	9.00	0.00	2.00	10.00	5.00	13.00	1.00	36.00
gene12051	63.00	12.00	24.00	49.00	10.00	87.00	32.00	43.00	13.00	26.00	90.00	50.00	255.00
gene12052	0.00	0.00	0.00	0.00	12.00	1.00	0.00	2.00	0.00	2.00	0.00	0.00	501.00
gene12053	86.00	72.00	97.00	62.00	0.00	56.00	41.00	57.00	14.00	30.00	40.00	50.00	244.00
gene12054	59.00	0.00	11.00	21.00	30.00	20.00	3.00	8.00	12.00	1.00	3.00	6.00	162.00
gene12055	2.00	0.00	0.00	10.00	0.00	7.00	0.00	3.00	0.00	0.00	20.00	2.00	146.00
gene12056	20.00	20.00	22.00	12.00	0.00	8.00	0.00	2.00	1.00	4.00	2.00	5.00	29.00
gene12057	12.00	116.00	144.00	142.00	11.00	467.00	116.00	131.00	162.00	199.00	51.00	147.00	1061.00
gene12058	37.00	92.00	299.00	174.00	13.00	88.00	61.00	110.00	100.00	24.00	15.00	85.00	272.00
gene12059	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene1206	398.00	160.00	600.00	188.00	61.00	162.00	94.00	160.00	137.00	319.00	431.00	371.00	866.00
gene12060	0.00	6.00	10.00	0.00	0.00	36.00	36.00	33.00	2.00	2.00	4.00	4.00	70.00
gene12061	152.00	32.00	153.00	149.00	5.00	107.00	28.00	46.00	176.00	124.00	15.00	67.00	381.00
gene12062	19.00	5.00	6.00	3.00	7.00	19328.00	6389.00	11009.00	255.00	0.00	1.00	3.00	0.00
gene12063	7.00	0.00	0.00	0.00	0.00	9.00	0.00	0.00	1.00	0.00	1.00	0.00	21.00
gene12064	4.00	18.00	49.00	20.00	20.00	39.00	3.00	16.00	7.00	8.00	73.00	17.00	164.00
gene12065	12.00	9.00	43.00	16.00	6.00	23.00	0.00	21.00	18.00	10.00	18.00	44.00	71.00
gene12066	317.00	3.00	27.00	24.00	26.00	30.00	0.00	14.00	64.00	48.00	6.00	11.00	255.00
gene12067	109.00	7.00	72.00	30.00	0.00	69.00	44.00	40.00	56.00	392.00	60.00	28.00	386.00
gene12068	5.00	8.00	103.00	37.00	0.00	72.00	1.00	16.00	52.00	69.00	10.00	55.00	413.00
gene12069	402.00	42.00	602.00	228.00	75.00	392.00	76.00	258.00	309.00	519.00	866.00	350.00	4240.00
gene1207	17.00	2.00	8.00	35.00	31.00	30.00	8.00	14.00	113.00	32.00	4.00	37.00	110.00
gene12070	4.00	5.00	16.00	2.00	7.00	4.00	0.00	0.00	2.00	13.00	0.00	0.00	5.00
gene12071	35.00	0.00	22.00	32.00	3.00	41.00	16.00	25.00	94.00	60.00	19.00	2.00	330.00
gene12072	117.00	9.00	0.00	13.00	0.00	54.00	31.00	25.00	12.00	2.00	5.00	1.00	45.00
gene12073	713.00	0.00	12.00	0.00	0.00	7.00	0.00	8.00	24.00	15.00	8.00	15.00	78.00
gene12074	45.00	11.00	111.00	81.00	0.00	29.00	0.00	17.00	15.00	17.00	10.00	12.00	54.00
gene12075	2110.00	39.00	733.00	151.00	96.00	222.00	64.00	189.00	279.00	254.00	301.00	139.00	443.00
gene12076	2752.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	2.00	1.00	0.00	0.00
gene12077	24.00	3.00	9.00	0.00	0.00	10.00	0.00	0.00	0.00	2.00	15.00	0.00	599.00
gene12078	51.00	6.00	68.00	18.00	36.00	36.00	22.00	26.00	21.00	165.00	20.00	37.00	202.00
gene12079	16.00	53.00	201.00	95.00	0.00	130.00	43.00	84.00	32.00	59.00	67.00	76.00	523.00
gene12080	114.00	182.00	340.00	222.00	66.00	245.00	102.00	120.00	108.00	120.00	76.00	98.00	990.00
gene12081	380.00	77.00	216.00	193.00	0.00	246.00	99.00	167.00	116.00	24.00	21.00	128.00	623.00
gene12082	501.00	72.00	73.00	180.00	26.00	217.00	27.00	110.00	327.00	28.00	39.00	23.00	244.00
gene12083	79.00	1.00	19.00	18.00	13.00	23.00	0.00	13.00	31.00	14.00	5.00	14.00	98.00
gene12084	69.00	6.00	111.00	2.00	11.00	52.00	0.00	42.00	201.00	58.00	449.00	515.00	1155.00
gene12085	1.00	0.00	0.00	0.00	1.00	0.00	9.00	0.00	2.00	0.00	0.00	1.00	1.00
gene12086	411.00	110.00	428.00	363.00	145.00	239.00	67.00	190.00	366.00	533.00	210.00	717.00	3056.00
gene12087	15.00	6.00	26.00	6.00	8.00	18.00	8.00	8.00	14.00	6.00	2.00	10.00	151.00
gene12088	95.00	217.00	191.00	171.00	63.00	199.00	104.00	165.00	150.00	25.00	38.00	58.00	327.00
gene12089	309.00	0.00	0.00	0.00	7.00	3.00	0.00	0.00	47.00	3.00	27.00	12.00	65.00
gene1209	0.00	1.00	42.00	51.00	0.00	69.00	19.00	50.00	12.00	0.00	8.00	35.00	10.00
gene12090	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene12091	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene12092	322.00	228.00	927.00	289.00	167.00	180.00	86.00	175.00	131.00	198.00	277.00	388.00	810.00
gene12093	458.00	116.00	201.00	39.00	36.00	141.00	38.00	102.00	271.00	71.00	532.00	169.00	476.00
gene12094	449.00	104.00	140.00	112.00	61.00	1370.00	79.00	323.00	149.00	65.00	31.00	31.00	381.00
gene12095	20.00	14.00	102.00	81.00	99.00	182.00	21.00	50.00	124.00	27.00	18.00	28.00	160.00
gene12096	1.00	0.00	1.00	0.00	15.00	0.00	0.00	0.00	9.00	0.00	1.00	11.00	21.00
gene12097	129.00	11.00	31.00	29.00	6.00	38.00	0.00	19.00	86.00	62.00	77.00	45.00	858.00
gene12098	17.00	0.00	21.00	9.00	35.00	12.00	0.00	5.00	56.00	10.00	23.00	19.00	167.00
gene12099	22.00	101.00	73.00	66.00	64.00	70.00	47.00	39.00	60.00	38.00	13.00	9.00	230.00
gene121	8.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	236.00
gene1210	35.00	0.00	1.00	0.00	53.00	1.00	0.00	0.00	95.00	8.00	5.00	1.00	19.00
gene12100	65.00	15.00	43.00	1.00	19.00	45.00	47.00	11.00	28.00	167.00	16.00	7.00	53.00
gene12101	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	96.00
gene12102	4.00	27.00	64.00	21.00	0.00	50.00	46.00	22.00	8.00	3.00	0.00	4.00	5.00
gene12103	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	1.00	13.00
gene12104	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene12105	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene12106	390.00	58.00	206.00	198.00	37.00	96.00	25.00	67.00	147.00	88.00	42.00	152.00	297.00
gene12107	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene12108	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene12109	7.00	0.00	0.00	0.00	20.00	502.00	8.00	77.00	227.00	1.00	0.00	0.00	1.00
gene1211	0.00	4.00	2.00	0.00	2918.00	0.00	7.00	0.00	1851.00	0.00	5.00	2.00	0.00
gene12110	2.00	13.00	30.00	8.00	93.00	47.00	7.00	30.00	78.00	5.00	3.00	33.00	308.00
gene12111	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	8.00	1.00	1.00	0.00	8.00
gene12112	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
gene12113	153.00	78.00	208.00	171.00	98.00	210.00	119.00	121.00	281.00	115.00	26.00	109.00	892.00
gene12114	76.00	344.00	1099.00	773.00	253.00	538.00	259.00	434.00	632.00	260.00	230.00	398.00	1312.00
gene12115	371.00	17.00	100.00	66.00	5.00	94.00	26.00	40.00	28.00	5.00	18.00	26.00	109.00
gene12116	2.00	0.00	7.00	0.00	34.00	19.00	33.00	6.00	95.00	15.00	12.00	7.00	131.00
gene12117	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00	1.00	2.00	7.00
gene12118	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
gene12119	31.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	22.00
gene1212	36.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	14.00	0.00	94.00
gene12120	727.00	81.00	184.00	73.00	0.00	55.00	15.00	17.00	54.00	111.00	249.00	124.00	369.00
gene12121	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
gene12122	1.00	32.00	53.00	72.00	24.00	70.00	21.00	57.00	85.00	38.00	17.00	33.00	152.00
gene12123	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	1057.00	0.00	0.00	0.00	0.00
gene12124	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	45.00	0.00	0.00	0.00	0.00
gene12125	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	3.00	0.00	0.00	5.00
gene12126	340.00	148.00	641.00	216.00	85.00	410.00	142.00	320.00	349.00	484.00	129.00	600.00	1164.00
gene12127	88.00	28.00	53.00	28.00	14.00	38.00	0.00	25.00	122.00	217.00	77.00	85.00	229.00
gene12128	632.00	421.00	566.00	448.00	106.00	1046.00	643.00	742.00	227.00	56.00	48.00	295.00	688.00
gene12129	3.00	4.00	9.00	0.00	0.00	734.00	191.00	422.00	16.00	8.00	62.00	203.00	38.00
gene1213	9.00	5.00	6.00	0.00	0.00	21.00	6.00	20.00	46.00	9.00	4.00	8.00	84.00
gene12130	77.00	113.00	144.00	137.00	115.00	134.00	61.00	118.00	64.00	72.00	15.00	81.00	92.00
gene12131	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	17.00
gene12132	26.00	16.00	9.00	13.00	0.00	1.00	33.00	4.00	23.00	179.00	4.00	2.00	212.00
gene12133	216.00	51.00	63.00	51.00	11.00	108.00	31.00	105.00	83.00	31.00	17.00	45.00	200.00
gene12134	9.00	15.00	6.00	27.00	0.00	15.00	13.00	13.00	53.00	15.00	15.00	6.00	66.00
gene12135	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
gene12136	2.00	0.00	4.00	0.00	0.00	7.00	10.00	0.00	8.00	1.00	0.00	0.00	18.00
gene12137	49.00	26.00	54.80	36.00	10.00	71.58	14.00	18.00	87.69	8.00	28.68	14.00	197.61
gene12138	51.00	6.00	42.00	13.00	0.00	12.00	0.00	2.00	13.00	9.00	23.00	5.00	14.00
gene12139	627.00	20.00	49.00	35.00	34.00	32.00	10.00	24.00	32.00	19.00	35.00	17.00	272.00
gene1214	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.00	0.00	2.00
gene12140	11.00	0.00	9.00	0.00	0.00	10.00	0.00	6.00	0.00	1.00	0.00	7.00	34.00
gene12141	9.00	0.00	26.00	10.00	0.00	10.00	0.00	25.00	4.00	5.00	56.00	21.00	85.00
gene12142	431.00	2.00	17.00	27.00	0.00	21.00	16.00	19.00	16.00	16.00	29.00	21.00	274.00
gene12143	205.00	14.00	52.00	42.00	11.00	157.00	38.00	83.00	170.00	47.00	64.00	119.00	920.00
gene12144	267.00	0.00	20.00	25.00	11.00	76.00	23.00	50.00	47.00	7.00	28.00	5.00	424.00
gene12145	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene12146	82.00	34.00	87.00	19.00	10.00	2.00	0.00	4.00	31.00	0.00	20.00	19.00	476.00
gene12147	10.00	0.00	0.00	0.00	4.00	31.00	6.00	8.00	3.00	0.00	9.00	0.00	322.00
gene12148	0.00	0.00	1.00	0.00	7.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	3061.00
gene12149	19.00	0.00	6.00	0.00	0.00	5.00	0.00	0.00	4.00	13.00	6.00	15.00	105.00
gene1215	5.00	12.00	24.00	25.00	41.00	38.00	35.00	27.00	44.00	20.00	8.00	52.00	193.00
gene12150	8.00	84.00	168.00	34.00	0.00	577.00	159.00	297.00	183.00	10.00	16.00	24.00	83.00
gene12151	6.00	4.00	63.00	18.00	13.00	5.00	0.00	8.00	22.00	22.00	7.00	25.00	76.00
gene12152	57.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	9.00	1.00	0.00	4.00
gene12153	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene12154	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene12155	17.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	12.00	4.00	59.00	0.00	122.00
gene12156	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	51.00
gene12157	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	3.00
gene12158	28.00	9.00	30.00	19.00	0.00	33.00	25.00	13.00	25.00	22.00	90.00	75.00	259.00
gene12159	16.00	12.00	18.00	19.00	21.00	22.00	1.00	8.00	23.00	17.00	6.00	18.00	107.00
gene1216	82.00	4.00	5.00	7.00	58.00	12.00	0.00	8.00	329.00	114.00	88.00	15.00	1731.00
gene12160	19.00	101.00	129.00	98.00	20.00	35.00	45.00	42.00	71.00	44.00	37.00	55.00	358.00
gene12161	2092.00	0.00	12.00	0.00	40.00	2.00	0.00	5.00	58.00	2.00	40.00	6.00	6.00
gene12162	1631.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
gene12163	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene12164	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene12165	0.00	0.00	3.00	0.00	18.00	1.00	8.00	3.00	6.00	1.00	2.00	1.00	50.00
gene12166	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene12167	2.00	0.00	16.00	3.00	6.00	38.00	65.00	20.00	0.00	7.00	20.00	9.00	198.00
gene12168	339.00	320.00	349.00	466.00	154.00	494.00	82.00	252.00	306.00	187.00	32.00	106.00	2732.00
gene12169	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene1217	18.00	3.00	6.00	25.00	10.00	5.00	0.00	0.00	16.00	12.00	2.00	0.00	76.00
gene12170	46.00	66.00	121.00	132.00	35.00	84.00	48.00	66.00	109.00	30.00	1.00	74.00	302.00
gene12171	3.00	77.00	38.00	28.00	9.00	355.00	96.00	192.00	73.00	6.00	7.00	36.00	33.00
gene12172	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene12173	1.00	0.00	2.00	13.00	0.00	4.00	13.00	3.00	0.00	4.00	9.00	3.00	12.00
gene12174	17.00	72.00	60.00	73.00	14.00	177.00	92.00	92.00	48.00	22.00	15.00	38.00	32.00
gene12175	17.00	49.00	173.00	158.00	0.00	167.00	98.00	144.00	151.00	25.00	5.00	81.00	476.00
gene12176	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene12177	41.00	157.00	630.00	352.00	0.00	1070.00	489.00	753.00	461.00	423.00	688.00	522.00	3927.00
gene12178	3187.00	64.00	248.00	127.00	132.00	369.00	90.00	198.00	226.00	73.00	128.00	138.00	1016.00
gene12179	435.00	0.00	0.00	9.00	0.00	2.00	26.00	6.00	4.00	4.00	7.00	5.00	618.00
gene1218	0.00	0.00	4.00	9.00	15.00	6.00	0.00	5.00	31.00	6.00	0.00	0.00	72.00
gene12180	290.00	21.00	34.00	22.00	27.00	51.00	1.00	11.00	69.00	14.00	21.00	24.00	654.00
gene12181	0.00	0.00	4.00	0.00	0.00	0.00	0.00	0.00	1.00	2.00	0.00	0.00	57.00
gene12182	283.00	109.00	810.00	197.00	98.00	176.00	77.00	141.00	293.00	688.00	269.00	292.00	805.00
gene12183	13.00	3.00	36.00	7.00	0.00	5.00	0.00	14.00	13.00	24.00	16.00	18.00	79.00
gene12184	4.00	1.00	20.00	0.00	14.00	7.00	0.00	4.00	0.00	4.00	184.00	18.00	72.00
gene12185	18.00	10.00	47.00	29.00	7.00	6.00	0.00	24.00	30.00	29.00	8.00	10.00	87.00
gene12186	314.00	18.00	35.00	15.00	55.00	25.00	4.00	5.00	42.00	60.00	151.00	23.00	650.00
gene12187	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene12188	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00
gene12189	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene12190	0.00	0.00	0.00	0.00	0.00	1.00	0.00	6.00	0.00	0.00	0.00	0.00	1.00
gene12191	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene12192	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene12193	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene12194	0.00	0.00	4.00	0.00	0.00	2.00	0.00	0.00	2.00	42.00	16.00	7.00	90.00
gene12195	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	83.00
gene12196	52.00	5.00	51.00	60.00	0.00	39.00	17.00	24.00	35.00	43.00	18.00	18.00	369.00
gene12197	1637.00	2.00	193.00	71.00	66.00	95.00	20.00	62.00	159.00	123.00	148.00	297.00	1304.00
gene12198	58.00	7.00	29.00	12.00	13.00	35.00	0.00	11.00	34.00	27.00	7.00	6.00	25.00
gene12199	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	1.00	5.00	0.00	0.00
gene122	597.00	14.00	92.00	12.00	15.00	244.00	60.00	119.00	77.00	47.00	7.00	41.00	350.00
gene1220	392.00	837.00	2097.00	1009.00	661.00	1491.00	433.00	881.00	749.00	777.00	1426.00	654.00	9569.00
gene12200	61.00	5.00	26.00	7.00	36.00	66.00	0.00	48.00	36.00	123.00	22.00	13.00	328.00
gene12201	1.00	11.00	13.00	0.00	0.00	4.00	0.00	4.00	1.00	0.00	19.00	3.00	54.00
gene12202	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene12203	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene12204	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene12205	311.00	90.00	283.00	115.00	60.00	109.00	46.00	66.00	212.00	98.00	66.00	79.00	1112.00
gene12206	0.00	4.00	3.00	12.00	13.00	65.00	0.00	25.00	598.00	10.00	6.00	5.00	1723.00
gene12207	405.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	7.00	9.00	2.00	0.00	964.00
gene12208	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene12209	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.00	3.00	39.00	0.00	274.00
gene1221	19.00	0.00	0.00	3.00	0.00	0.00	0.00	0.00	5.00	1.00	14.00	0.00	144.00
gene12210	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene12211	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene12212	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene12213	822.00	27.00	180.00	97.00	18.00	188.00	49.00	104.00	101.00	143.00	87.00	94.00	442.00
gene12214	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene12215	99.00	235.00	499.00	253.00	47.00	77.00	48.00	110.00	90.00	71.00	94.00	94.00	195.00
gene12216	1.00	28.00	78.00	69.00	8.00	134.00	32.00	75.00	47.00	0.00	1.00	67.00	5.00
gene12217	119.00	6.00	45.00	36.00	0.00	26.00	22.00	29.00	46.00	51.00	28.00	52.00	172.00
gene12218	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene12219	5.00	0.00	0.00	0.00	0.00	7.00	0.00	0.00	8.00	0.00	1.00	0.00	0.00
gene1222	1.00	0.00	0.00	0.00	0.00	0.00	0.00	7.00	2.00	0.00	0.00	0.00	68.00
gene12220	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene12221	20.00	5.00	247.00	31.00	9.00	111.00	5.00	41.00	71.00	76.00	94.00	128.00	371.00
gene12222	107.00	74.00	181.00	96.00	40.00	126.00	90.00	98.00	85.00	81.00	39.00	187.00	718.00
gene12223	21.00	0.00	0.00	6.00	15.00	16.00	12.00	6.00	16.00	3.00	2.00	5.00	569.00
gene12224	1.00	0.00	0.00	0.00	29.00	5.00	0.00	4.00	5.00	13.00	4.00	1.00	70.00
gene12225	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene12226	2.00	0.00	5.00	0.00	0.00	16.00	0.00	0.00	7.00	20.00	10.00	0.00	106.00
gene12227	46.00	14.00	89.00	46.00	11.00	100.00	22.00	48.00	192.00	83.00	242.00	87.00	421.00
gene12228	7.00	39.00	54.00	57.00	0.00	40.00	23.00	26.00	46.00	53.00	1.00	11.00	17.00
gene12229	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.00	0.00	3.00	0.00	1.00
gene1223	0.00	0.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	3.00	0.00	78.00
gene12230	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene12231	4.00	8.00	25.00	37.00	25.00	46.00	48.00	27.00	29.00	3.00	9.00	29.00	105.00
gene12232	0.00	1.00	0.00	0.00	0.00	0.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00
gene12233	0.00	0.00	0.00	0.00	0.00	8.00	0.00	0.00	5.00	7.00	8.00	0.00	8.00
gene12234	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene12235	194.00	53.00	276.00	124.00	118.00	106.00	34.00	95.00	149.00	29.00	338.00	104.00	406.00
gene12236	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	79.00	0.00	3.00	7.00	44.65
gene12237	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene12238	5.00	52.00	109.00	82.00	0.00	36.00	37.00	19.00	43.00	12.00	8.00	73.00	113.00
gene12239	0.00	0.00	0.00	3.00	0.00	1.00	0.00	0.00	4.00	0.00	0.00	0.00	24.00
gene1224	19.00	153.00	313.00	221.00	0.00	103.00	117.00	100.00	127.00	29.00	80.00	88.00	280.00
gene12240	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene12241	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene12242	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene12243	11.00	10.00	23.00	14.00	0.00	59.00	4.00	24.00	9.00	13.00	3.00	14.00	122.00
gene12244	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00
gene12245	3.00	7.00	43.00	43.00	26.00	89.00	45.00	57.00	69.00	44.00	11.00	17.00	393.00
gene12246	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	1.00	1.00	0.00
gene12247	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	71.00
gene12248	26.00	0.00	2.00	0.00	0.00	11.00	0.00	5.00	8.00	1.00	2.00	0.00	37.00
gene12249	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	22.81
gene1225	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.00	0.00	27.00	0.00	117.00
